Diagnostico_transcrito,Diagnostico_estandar,Diagnostico_extendido,Freq,Npartes,Nfalta,IDs,Diagnostico_clasificacion
EsCyP,_CP,craneo pelvis,1,2,1,BO_1976_04982,
HIPsP,_P,pelvis,1,2,1,BO_1976_04735,
AAxHE,AAxHE,anemia por hemorragia,3,1,0,"BO_1975_04592,BO_1978_05076,BO_1978_05382",Causas externas de morbilidad y de mortalidad
AAXHE,AAxHE,anemia por hemorragia,1,1,0,BO_1976_00517,Causas externas de morbilidad y de mortalidad
AAXHE por VP,AAxHE,anemia por hemorragia,1,2,1,BO_1974_00731,Causas externas de morbilidad y de mortalidad
AAxHExPardis,AAxHE,anemia por hemorragia,1,2,1,BO_1978_02937,Causas externas de morbilidad y de mortalidad
AAyHE,AAxHE,anemia por hemorragia,1,1,0,BO_1977_00151,Causas externas de morbilidad y de mortalidad
AAxHExAborto,AAxHE+Aborto,aborto + anemia por hemorragia,1,2,0,BO_1978_04011,"Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
AAHE+HPIPVP,AAxHE+HIPC,anemia por hemorragia + herida punzo cortante,1,2,0,BO_1979_06246,Causas externas de morbilidad y de mortalidad + Herida punzo cortante
AAxHE + HI Pc P,AAxHE+HIPC,anemia por hemorragia + herida punzo cortante,1,2,0,BO_1978_00152,Causas externas de morbilidad y de mortalidad + Herida punzo cortante
AAxHExHPAFP,AAxHE+HPAF,anemia por hemorragia + herida arma fuego,1,2,0,BO_1978_03663,Causas externas de morbilidad y de mortalidad + Herida por arma de fuego
Aborto,Aborto,aborto,6,1,0,"BO_1976_01879,BO_1977_00139,BO_1977_01500,BO_1977_02198,BO_1979_03277","Embarazo, parto y puerperio"
Aborto+,Aborto,aborto,1,1,0,BO_1975_00181,"Embarazo, parto y puerperio"
BN+ABORTO,Aborto+BN,aborto + bronconeumonia,2,2,0,"BO_1974_01584,BO_1974_02299","Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
BN+Aborto,Aborto+BN,aborto + bronconeumonia,1,2,0,BO_1974_00133,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
Infartos ps Cerebro+abosto septico,Aborto+Cereb+Inf,aborto + cerebro + infarto o infeccion,1,4,1,BO_1974_00431,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto + EP,Aborto+EP,aborto + edema pulmonar,1,2,0,BO_1978_03021,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
HIxAborto,Aborto+HIPC,aborto + herida punzo cortante,1,2,0,BO_1978_05419,"Embarazo, parto y puerperio + Herida punzo cortante"
Aborto + Per,Aborto+PER,aborto + peritonitis o perforacion,1,2,0,BO_1979_00697,"Embarazo, parto y puerperio + Enfermedades del sistema digestivo"
SxAbortoPerV,Aborto+PER+Septi+_V,aborto + peritonitis o perforacion + septicemia + vientre,1,4,0,BO_1975_02593,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio + Enfermedades del sistema digestivo"
PN+Aborto,Aborto+PN,aborto + pleuro pneumonia,1,2,0,BO_1974_00635,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
PN+AbortoSep,Aborto+PN+Septi,aborto + pleuro pneumonia + septicemia,1,3,0,BO_1975_01009,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
Aborto+S,Aborto+Septi,aborto + septicemia,10,2,0,"BO_1975_03181,BO_1975_04830,BO_1976_05862,BO_1977_00781,BO_1978_02834","Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Septico+S,Aborto+Septi,aborto + septicemia,2,2,0,"BO_1974_01493,BO_1975_05030","Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
SxAborto Septico,Aborto+Septi,aborto + septicemia,1,3,0,BO_1975_00442,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
S + Aborto Sep,Aborto+Septi,aborto + septicemia,1,3,0,BO_1974_00158,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
(Aborto) A Septico,Aborto+Septi,aborto + septicemia,1,2,0,BO_1975_02833,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
ABORTO+S,Aborto+Septi,aborto + septicemia,1,2,0,BO_1978_02594,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Sep,Aborto+Septi,aborto + septicemia,1,2,0,BO_1978_04835,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Sept,Aborto+Septi,aborto + septicemia,1,2,0,BO_1977_01896,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Septico,Aborto+Septi,aborto + septicemia,1,2,0,BO_1975_06522,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Abortyo+S,Aborto+Septi,aborto + septicemia,1,2,0,BO_1978_03150,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Cuadro Septico por aborto,Aborto+Septi,aborto + septicemia,1,2,0,BO_1974_02896,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
CuadroSeptico AbortoSeptico,Aborto+Septi,aborto + septicemia,1,2,0,BO_1975_02984,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto inco +SH+IP,Aborto+SH,aborto + shock,1,4,2,BO_1975_01664,"Embarazo, parto y puerperio"
Aborto+SH,Aborto+SH,aborto + shock,1,2,0,BO_1979_04275,"Embarazo, parto y puerperio"
Absceso,Abs,absceso,1,1,0,BO_1975_00116,Enfermedades de la piel y del tejido subcutáneo
Abs H,Abs,absceso,1,2,1,BO_1977_04974,Enfermedades de la piel y del tejido subcutáneo
BN+Abs,Abs+BN,absceso + bronconeumonia,1,2,0,BO_1977_06538,Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema respiratorio
Abceso Cerebral,Abs+Cereb,absceso + cerebro,2,2,0,"BO_1979_00137,BO_1979_03510",Enfermedades de la piel y del tejido subcutáneo
Absceso Cerebral,Abs+Cereb,absceso + cerebro,2,2,0,"BO_1974_04071,BO_1979_00153",Enfermedades de la piel y del tejido subcutáneo
Absceso C,Abs+Cereb,absceso + cerebro,1,2,0,BO_1975_02314,Enfermedades de la piel y del tejido subcutáneo
Abceso Gere,Abs+Cereb,absceso + cerebro,1,2,0,BO_1979_04694,Enfermedades de la piel y del tejido subcutáneo
Abcesos Cerebrales,Abs+Cereb,absceso + cerebro,1,2,0,BO_1977_00290,Enfermedades de la piel y del tejido subcutáneo
Abs Cerebral,Abs+Cereb,absceso + cerebro,1,2,0,BO_1979_02053,Enfermedades de la piel y del tejido subcutáneo
Abs cerebral,Abs+Cereb,absceso + cerebro,1,2,0,BO_1978_02459,Enfermedades de la piel y del tejido subcutáneo
CH+AbsPul,Abs+CH+Pul,absceso + cirrosis hepatica + pulmon,1,3,0,BO_1975_04757,Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema digestivo
Abseso Hep,Abs+Hepat,absceso + higado,1,2,0,BO_1978_05839,Enfermedades de la piel y del tejido subcutáneo
AbscesoHepatico,Abs+Hepat,absceso + higado,1,2,0,BO_1975_04325,Enfermedades de la piel y del tejido subcutáneo
PN+AbsPiq,Abs+PN,absceso + pleuro pneumonia,1,3,1,BO_1975_04756,Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema respiratorio
Absceso Pulmonar,Abs+Pul,absceso + pulmon,2,2,0,"BO_1975_05784,BO_1975_05859",Enfermedades de la piel y del tejido subcutáneo
Absesos Pulmon,Abs+Pul,absceso + pulmon,1,2,0,BO_1975_05345,Enfermedades de la piel y del tejido subcutáneo
Abs. P,Abs+Pul,absceso + pulmon,1,2,0,BO_1976_05037,Enfermedades de la piel y del tejido subcutáneo
AbscesoVag+CuadroS,Abs+Septi+Vag,absceso + septicemia + vagina,1,3,0,BO_1975_00107,Ciertas enfermedades infecciosas y parasitarias + Enfermedades de la piel y del tejido subcutáneo
AE,AE,asfixia por estrangulacion,114,1,0,"BO_1974_00087,BO_1974_00106,BO_1974_00691,BO_1974_01318,BO_1974_01319",Causas externas de morbilidad y de mortalidad
AE+T CER.,AE,asfixia por estrangulacion,1,2,1,BO_1977_06659,Causas externas de morbilidad y de mortalidad
AOVA+AE,AE+AOVA,asfixia por estrangulacion + asfixia por obstruccion de vias aereas,1,2,0,BO_1978_03437,Causas externas de morbilidad y de mortalidad
AE+AOVA,AE+AOVA,asfixia por estrangulacion + asfixia por obstruccion de vias aereas,1,2,0,BO_1975_01283,Causas externas de morbilidad y de mortalidad
AE+ASB,AE+ASB,asfixia por estrangulacion + asfixia por sumersion,1,2,0,BO_1978_01541,Causas externas de morbilidad y de mortalidad
AE+AS,AE+ASF,asfixia + asfixia por estrangulacion,1,2,0,BO_1979_05768,Causas externas de morbilidad y de mortalidad
AECA,AE+CA,asfixia por estrangulacion + cancer,1,2,0,BO_1974_05717,Causas externas de morbilidad y de mortalidad + Tumores (neoplasias)
AE+HIC,AE+HIPC,asfixia por estrangulacion + herida punzo cortante,1,2,0,BO_1978_06699,Causas externas de morbilidad y de mortalidad + Herida punzo cortante
AE+TA+HPC,AE+HIPC+TA,asfixia por estrangulacion + herida punzo cortante + traumatismo abdomen,1,3,0,BO_1976_03714,Causas externas de morbilidad y de mortalidad + Herida punzo cortante + Trauma
AE+Violacion rectal,AE+Rectal,asfixia por estrangulacion + rectal,1,3,1,BO_1977_05373,Causas externas de morbilidad y de mortalidad
AE+TCA,AE+TAC,asfixia por estrangulacion + traumatismo abdomen craneo,1,2,0,BO_1974_03511,Causas externas de morbilidad y de mortalidad + Trauma
AE+TCC,AE+TCCer,asfixia por estrangulacion + traumatismo craneo cervico,1,2,0,BO_1977_01456,Causas externas de morbilidad y de mortalidad + Trauma
TCerMed+AE,AE+TCCerM,asfixia por estrangulacion + traumatismo craneo cervico medular,1,2,0,BO_1975_06606,Causas externas de morbilidad y de mortalidad + Trauma
TCE+AE,AE+TCE,asfixia por estrangulacion + traumatismo craneo encefalico,6,2,0,"BO_1974_00755,BO_1975_06674,BO_1976_00681,BO_1977_03463,BO_1977_06898",Causas externas de morbilidad y de mortalidad + Trauma
AE+TCE,AE+TCE,asfixia por estrangulacion + traumatismo craneo encefalico,2,2,0,"BO_1974_05696,BO_1977_04278",Causas externas de morbilidad y de mortalidad + Trauma
AETCE,AE+TCE,asfixia por estrangulacion + traumatismo craneo encefalico,1,2,0,BO_1975_06665,Causas externas de morbilidad y de mortalidad + Trauma
AE+TC,AE+TCer,asfixia por estrangulacion + traumatismo cervico,1,2,0,BO_1975_00506,Causas externas de morbilidad y de mortalidad + Trauma
TCT+AE,AE+TCT,asfixia por estrangulacion + traumatismo craneo torax,1,2,0,BO_1979_03555,Causas externas de morbilidad y de mortalidad + Trauma
TCTA+AE,AE+TCTA,asfixia por estrangulacion + traumatismo craneo torax abdomen,2,2,0,"BO_1975_01829,BO_1975_01831",Causas externas de morbilidad y de mortalidad + Trauma
AE+TM,AE+TM,asfixia por estrangulacion + traumatismo multiple,1,2,0,BO_1979_03031,Causas externas de morbilidad y de mortalidad + Trauma
AE + TP,AE+TP,asfixia por estrangulacion + traumatismo pelvis,1,2,0,BO_1978_00050,Causas externas de morbilidad y de mortalidad + Trauma
TT+AE,AE+TT,asfixia por estrangulacion + traumatismo torax,1,2,0,BO_1975_00814,Causas externas de morbilidad y de mortalidad + Trauma
AE+TT,AE+TT,asfixia por estrangulacion + traumatismo torax,1,2,0,BO_1975_06165,Causas externas de morbilidad y de mortalidad + Trauma
BN+Alcohol,Alcohol+BN,alcohol + bronconeumonia,1,2,0,BO_1979_03401,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
IntoxAlcoholica+BN,Alcohol+BN+Intox,alcohol + bronconeumonia + intoxicacion,1,3,0,BO_1976_05387,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox alcoholica + BN,Alcohol+BN+Intox,alcohol + bronconeumonia + intoxicacion,1,3,0,BO_1976_04594,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN INTOX ALCOHOLICA,Alcohol+BN+Intox,alcohol + bronconeumonia + intoxicacion,1,3,0,BO_1978_00264,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox CO2+ALCOHOL,Alcohol+CO2+Intox,CO2 + alcohol + intoxicacion,1,3,0,BO_1978_04852,Causas externas de morbilidad y de mortalidad
IntoxA+EP,Alcohol+EP+Intox,alcohol + edema pulmonar + intoxicacion,1,3,0,BO_1975_05317,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox Alchohol Hepatitis,Alcohol+Hepatitis+Intox,alcohol + hepatitis + intoxicacion,1,3,0,BO_1979_04278,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
IntoxA+,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1975_02693,Causas externas de morbilidad y de mortalidad
IntoxAlcoholica,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1976_04545,Causas externas de morbilidad y de mortalidad
Intox alcohol metilo,Alcohol+Intox,alcohol + intoxicacion,1,3,1,BO_1978_05106,Causas externas de morbilidad y de mortalidad
Intoxicacion Alcoholica,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1976_06149,Causas externas de morbilidad y de mortalidad
Intoxicacion alcoholica,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1977_00035,Causas externas de morbilidad y de mortalidad
Intox Etilica,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1977_04026,Causas externas de morbilidad y de mortalidad
Intox A,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1976_03471,Causas externas de morbilidad y de mortalidad
Intox Alcohol,Alcohol+Intox,alcohol + intoxicacion,1,2,0,BO_1979_04190,Causas externas de morbilidad y de mortalidad
Intox rat y Alcoholica,Alcohol+Intox+Raticida,alcohol + intoxicacion + raticida,1,3,0,BO_1979_03705,Causas externas de morbilidad y de mortalidad
Intox x Raticida y alcohol,Alcohol+Intox+Raticida,alcohol + intoxicacion + raticida,1,3,0,BO_1975_05323,Causas externas de morbilidad y de mortalidad
AN,AN,anemia,3,1,0,"BO_1974_05528,BO_1977_06411,BO_1978_06163",
An,AN,anemia,2,1,0,"BO_1975_00897,BO_1979_03922",
Man. Abortivas + An,AN,anemia,1,3,2,BO_1976_03022,
Maniobras Abortivas + An.,AN,anemia,1,3,2,BO_1976_02397,
UE+AN,AN,anemia,1,2,1,BO_1978_05755,
UE+An,AN,anemia,1,2,1,BO_1978_02847,
SecVena+An,AN,anemia,1,3,2,BO_1976_03063,
Sec. Vasos de Brazos -+An,AN,anemia,1,3,2,BO_1976_05800,
SecArtFem+An,AN,anemia,1,3,2,BO_1975_02364,
CHVE+An,AN,anemia,1,2,1,BO_1975_02908,
ANP PREVIA,AN,anemia,1,2,1,BO_1974_02621,
ANXRF,AN,anemia,1,2,1,BO_1974_04488,
AN Vicera Peptica +,AN,anemia,1,3,2,BO_1976_00763,
AN had,AN,anemia,1,2,1,BO_1974_03840,
AN+ ULCERAS,AN,anemia,1,2,1,BO_1974_03885,
AN+T,AN,anemia,1,2,1,BO_1976_00589,
AN+Visceras,AN,anemia,1,2,1,BO_1979_05764,
AN PostAborto,AN,anemia,1,2,1,BO_1975_00024,
AN Placenta Previ,AN,anemia,1,2,1,BO_1975_04810,
An x CHVE,AN,anemia,1,2,1,BO_1979_03355,
An+Re,AN,anemia,1,2,1,BO_1976_01297,
AnPestPap,AN,anemia,1,3,2,BO_1975_02555,
AnxV,AN,anemia,1,2,1,BO_1976_03703,
AnxPuncion,AN,anemia,1,2,1,BO_1979_03383,
AnPostLegra,AN,anemia,1,2,1,BO_1976_01688,
Anemia Aguda,AN,anemia,1,2,1,BO_1975_06675,
AnxEupPSM,AN,anemia,1,3,2,BO_1975_04114,
ATMI+AN,AN,anemia,1,2,1,BO_1974_00015,
HPIPcP,AN,anemia,1,2,1,BO_1976_03701,
HIPEMI+AN,AN,anemia,1,2,1,BO_1974_04027,
Aborto+AN,AN+Aborto,aborto + anemia,3,2,0,"BO_1975_06054,BO_1979_04393,BO_1979_04553","Embarazo, parto y puerperio"
AN+ ABORTO,AN+Aborto,aborto + anemia,1,2,0,BO_1974_03480,"Embarazo, parto y puerperio"
Aborto An,AN+Aborto,aborto + anemia,1,2,0,BO_1977_04291,"Embarazo, parto y puerperio"
Aborto incomp+AN,AN+Aborto,aborto + anemia,1,3,1,BO_1974_03736,"Embarazo, parto y puerperio"
Aborto+A,AN+Aborto,aborto + anemia,1,2,0,BO_1975_00139,"Embarazo, parto y puerperio"
Anx Aborto,AN+Aborto,aborto + anemia,1,2,0,BO_1977_00687,"Embarazo, parto y puerperio"
HEM+AN MANIOBRAS ABORT,AN+Aborto+Hemo,aborto + anemia + hemorragia,1,3,0,BO_1974_02212,"Embarazo, parto y puerperio"
An x Aneurisma,AN+Aneurisma,anemia + aneurisma,1,2,0,BO_1974_00738,Enfermedades del sistema circulatorio
AN RUP AOVA,AN+AOVA+Rup,anemia + asfixia por obstruccion de vias aereas + ruptura,1,3,0,BO_1974_04070,Causas externas de morbilidad y de mortalidad
AN AOVA+VE,AN+AOVA+VE,anemia + asfixia por obstruccion de vias aereas + varices esofagicas,1,3,0,BO_1978_03443,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
BN+An,AN+BN,anemia + bronconeumonia,1,2,0,BO_1974_03219,Enfermedades del sistema respiratorio
AN+BN+CH,AN+BN+CH,anemia + bronconeumonia + cirrosis hepatica,1,3,0,BO_1974_04654,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
VE+CH+BN+AN,AN+BN+CH+VE,anemia + bronconeumonia + cirrosis hepatica + varices esofagicas,1,4,0,BO_1975_05931,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
BN+AN+CVG,AN+BN+CVG,anemia + bronconeumonia + congestion visceral generalizada,1,3,0,BO_1975_04054,Enfermedades del sistema respiratorio
Quemaduras+BN+AN,AN+BN+Quem,anemia + bronconeumonia + quemaduras,1,3,0,BO_1974_00219,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
TP+BN+AN,AN+BN+TP,anemia + bronconeumonia + traumatismo pelvis,1,3,0,BO_1979_00947,Enfermedades del sistema respiratorio + Trauma
VE+AN+BN,AN+BN+VE,anemia + bronconeumonia + varices esofagicas,1,3,0,BO_1979_04429,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
VE+An+BN,AN+BN+VE,anemia + bronconeumonia + varices esofagicas,1,3,0,BO_1978_04013,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
VE+An+CA,AN+CA+VE,anemia + cancer + varices esofagicas,1,3,0,BO_1977_06244,Enfermedades del sistema digestivo + Tumores (neoplasias)
CH+An,AN+CH,anemia + cirrosis hepatica,3,2,0,"BO_1975_05163,BO_1976_00245,BO_1976_03050",Enfermedades del sistema digestivo
CH+AN,AN+CH,anemia + cirrosis hepatica,2,2,0,"BO_1978_03840,BO_1979_05902",Enfermedades del sistema digestivo
UE+CH+AN,AN+CH,anemia + cirrosis hepatica,1,3,1,BO_1978_06757,Enfermedades del sistema digestivo
AN+CH,AN+CH,anemia + cirrosis hepatica,1,2,0,BO_1976_01608,Enfermedades del sistema digestivo
VE+AN+CH,AN+CH+VE,anemia + cirrosis hepatica + varices esofagicas,5,3,0,"BO_1974_03207,BO_1974_03685,BO_1974_05082,BO_1976_00403,BO_1979_04667",Enfermedades del sistema digestivo
VE+An+CH,AN+CH+VE,anemia + cirrosis hepatica + varices esofagicas,3,3,0,"BO_1976_02432,BO_1976_04697,BO_1979_04004",Enfermedades del sistema digestivo
CH+VE+AN,AN+CH+VE,anemia + cirrosis hepatica + varices esofagicas,2,3,0,"BO_1977_03075,BO_1977_05691",Enfermedades del sistema digestivo
VE+CH+An,AN+CH+VE,anemia + cirrosis hepatica + varices esofagicas,2,3,0,"BO_1976_04999,BO_1979_00185",Enfermedades del sistema digestivo
VE+CH+AN,AN+CH+VE,anemia + cirrosis hepatica + varices esofagicas,1,3,0,BO_1979_06329,Enfermedades del sistema digestivo
CH+AN+VE,AN+CH+VE,anemia + cirrosis hepatica + varices esofagicas,1,3,0,BO_1979_06370,Enfermedades del sistema digestivo
An+Embarazo ectopico,AN+Embarazo,anemia + embarazo,1,3,1,BO_1975_04900,"Embarazo, parto y puerperio"
AnEmbarazo mo,AN+Embarazo,anemia + embarazo,1,3,1,BO_1976_01262,"Embarazo, parto y puerperio"
AnXEmbEctop,AN+Embarazo,anemia + embarazo,1,3,1,BO_1977_04017,"Embarazo, parto y puerperio"
AnxEmbarazo,AN+Embarazo,anemia + embarazo,1,2,0,BO_1979_00587,"Embarazo, parto y puerperio"
Ulcera Gastrica An,AN+Gastr+Ulcera,anemia + gastro + ulcera,1,3,0,BO_1976_04907,Enfermedades del sistema digestivo
Gastritis+An,AN+Gastritis,anemia + gastritis,1,2,0,BO_1979_05652,Enfermedades del sistema digestivo
HC+An,AN+HC,anemia + hemorragia cerebral o herida cortante,2,2,0,"BO_1976_02087,BO_1978_04595",Causas externas de morbilidad y de mortalidad
HC+AN,AN+HC,anemia + hemorragia cerebral o herida cortante,2,2,0,"BO_1974_00822,BO_1975_06660",Causas externas de morbilidad y de mortalidad
HcC+AN,AN+HC,anemia + hemorragia cerebral o herida cortante,1,2,0,BO_1977_01618,Causas externas de morbilidad y de mortalidad
HC+AN MI,AN+HC+MI,anemia + hemorragia cerebral o herida cortante + miembro,1,3,0,BO_1978_05676,Causas externas de morbilidad y de mortalidad
AnxHemUTo,AN+Hemo,anemia + hemorragia,1,3,1,BO_1978_00514,
Anxnova A.Rep Higado,AN+Hepat,anemia + higado,1,4,2,BO_1976_05889,
HIPC+AN,AN+HIPC,anemia + herida punzo cortante,4,2,0,"BO_1974_03671,BO_1977_00568,BO_1977_02182,BO_1979_02978",Herida punzo cortante
HIPC+An,AN+HIPC,anemia + herida punzo cortante,2,2,0,"BO_1976_04889,BO_1979_02729",Herida punzo cortante
AN+HICC,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1975_05216,Herida punzo cortante
HPAFPT HIPPT+T,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1975_04911,Herida punzo cortante
HsIPCS+AN,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1974_03424,Herida punzo cortante
HsC,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1979_04153,Herida punzo cortante
HsCs+AE,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1976_00881,Herida punzo cortante
HsCs+AN,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1979_00288,Herida punzo cortante
HsICC,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1976_01228,Herida punzo cortante
HIPCP+AN,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1979_06084,Herida punzo cortante
HIC+An,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1975_05334,Herida punzo cortante
HIPConT+An,AN+HIPC,anemia + herida punzo cortante,1,3,1,BO_1976_00593,Herida punzo cortante
HIC+AN,AN+HIPC,anemia + herida punzo cortante,1,2,0,BO_1978_03608,Herida punzo cortante
HIPCPA+AN,AN+HIPCA,anemia + herida punzo cortante abdomen,1,2,0,BO_1974_00486,Herida punzo cortante
HIPCPA+An,AN+HIPCA,anemia + herida punzo cortante abdomen,1,2,0,BO_1975_02732,Herida punzo cortante
HsIPCPC,AN+HIPCCu,anemia + herida punzo cortante cuello,1,2,0,BO_1978_01212,Herida punzo cortante
HIC+An cuello,AN+HIPCCu,anemia + herida punzo cortante cuello,1,2,0,BO_1976_00906,Herida punzo cortante
HIC Cuello AN,AN+HIPCCu,anemia + herida punzo cortante cuello,1,2,0,BO_1977_02703,Herida punzo cortante
HICdeMI+An,AN+HIPCMi,anemia + herida punzo cortante miembros,1,2,0,BO_1976_05422,Herida punzo cortante
HIPC An Muslo,AN+HIPCMi,anemia + herida punzo cortante miembros,1,2,0,BO_1977_04765,Herida punzo cortante
HIPCPT+AN,AN+HIPCT,anemia + herida punzo cortante torax,2,2,0,"BO_1974_01760,BO_1974_01876",Herida punzo cortante
HsIPCPsT+An,AN+HIPCT,anemia + herida punzo cortante torax,1,2,0,BO_1976_05274,Herida punzo cortante
HIPCPT+An,AN+HIPCT,anemia + herida punzo cortante torax,1,2,0,BO_1975_04051,Herida punzo cortante
HICCPT+AN,AN+HIPCT,anemia + herida punzo cortante torax,1,2,0,BO_1974_03503,Herida punzo cortante
HPAFC/S,AN+HPAF,anemia + herida arma fuego,1,2,0,BO_1974_01471,Herida por arma de fuego
HPAF C-Sec ArtF,AN+HPAF,anemia + herida arma fuego,1,2,0,BO_1975_02943,Herida por arma de fuego
HPAF C/S Vasos,AN+HPAF,anemia + herida arma fuego,1,2,0,BO_1975_01878,Herida por arma de fuego
HPAF u/sec,AN+HPAF,anemia + herida arma fuego,1,2,0,BO_1975_05056,Herida por arma de fuego
HPAF+An,AN+HPAF,anemia + herida arma fuego,1,2,0,BO_1976_03360,Herida por arma de fuego
HPAFPA+,AN+HPAFA,anemia + herida arma fuego abdomen,2,2,0,"BO_1975_02969,BO_1975_04375",Herida por arma de fuego
HPAFPA+An,AN+HPAFA,anemia + herida arma fuego abdomen,1,2,0,BO_1976_01819,Herida por arma de fuego
Hs Ps AFP,AN+HPAFA,anemia + herida arma fuego abdomen,1,2,0,BO_1978_00039,Herida por arma de fuego
HPAFC+An,AN+HPAFC,anemia + herida arma fuego craneo,1,2,0,BO_1978_05602,Herida por arma de fuego
HPAFCuello,AN+HPAFCu,anemia + herida arma fuego cuello,2,2,0,"BO_1975_00605,BO_1978_06339",Herida por arma de fuego
HPAFPTAN,AN+HPAFT,anemia + herida arma fuego torax,4,2,0,"BO_1974_01409,BO_1974_03364,BO_1974_04544,BO_1974_05127",Herida por arma de fuego
HPAFPT+AN,AN+HPAFT,anemia + herida arma fuego torax,2,2,0,"BO_1974_03361,BO_1974_04506",Herida por arma de fuego
HPAFPT+An,AN+HPAFT,anemia + herida arma fuego torax,2,2,0,"BO_1975_04302,BO_1975_04737",Herida por arma de fuego
HPAFPsT+An,AN+HPAFT,anemia + herida arma fuego torax,1,2,0,BO_1974_03188,Herida por arma de fuego
HPAFPT+A,AN+HPAFT,anemia + herida arma fuego torax,1,2,0,BO_1974_01877,Herida por arma de fuego
HPAFPT+AAH,AN+HPAFT,anemia + herida arma fuego torax,1,2,0,BO_1974_01984,Herida por arma de fuego
HPAF c/1 Tronco braqui,AN+HPAFT,anemia + herida arma fuego torax,1,2,0,BO_1974_00363,Herida por arma de fuego
HPAFPT y AAN,AN+HPAFTA,anemia + herida arma fuego torax abdomen,1,2,0,BO_1974_04274,Herida por arma de fuego
HPAFPC+A,AN+HPAFV,anemia + herida arma fuego vientre,1,2,0,BO_1974_01705,Herida por arma de fuego
An+Int+Per,AN+Intes+PER,anemia + intestino + peritonitis o perforacion,1,3,0,BO_1976_01627,Enfermedades del sistema digestivo
AnxLegUterino,AN+Leg+Utero,anemia + legrado + utero,1,3,0,BO_1976_04740,"Embarazo, parto y puerperio"
AN+LOC,AN+LOC,anemia + enfermedad organica del corazon,1,2,0,BO_1975_01147,Enfermedades del sistema circulatorio
Parto Prem An,AN+Parto,anemia + parto,1,3,1,BO_1977_01262,"Embarazo, parto y puerperio"
An+Parto,AN+Parto,anemia + parto,1,2,0,BO_1979_00499,"Embarazo, parto y puerperio"
Parto Distosico+AN,AN+PartoDis,anemia + parto distosico,1,2,0,BO_1976_03739,"Embarazo, parto y puerperio"
