Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),622,1,0,"BO_1980_00014,BO_1980_00094,BO_1980_00107,BO_1980_00133,BO_1980_00137",Cuauhtemoc
36,HV,Hospital la Villa (Col Granjas Modernas),619,1,0,"BO_1977_03641,BO_1978_05062,BO_1980_00017,BO_1980_00020,BO_1980_00036",Gustavo A Madero
17a,VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena),609,1,0,"BO_1977_00154,BO_1977_00189,BO_1977_00301,BO_1977_00338,BO_1977_00344",Venustiano Carranza
MH-HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),608,1,0,"BO_1975_00030,BO_1975_00046,BO_1975_00123,BO_1975_00124,BO_1975_00125",Miguel Hidalgo
6a,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),606,1,0,"BO_1974_00133,BO_1974_00173,BO_1974_00208,BO_1974_00214,BO_1974_00231",Cuauhtemoc
7a,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),591,1,0,"BO_1968_02617,BO_1969_01014,BO_1973_04012,BO_1974_00038,BO_1974_00043",Cuauhtemoc
HB,HB,Hospital Balbuena (Col Jardin Balbuena),569,1,0,"BO_1974_00001,BO_1974_00002,BO_1974_00009,BO_1974_00011,BO_1974_00012",Venustiano Carranza
10a,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),568,1,0,"BO_1969_01022,BO_1974_00029,BO_1974_00076,BO_1974_00080,BO_1974_00093",Benito Juarez
22,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),567,1,0,"BO_1980_00121,BO_1980_00144,BO_1980_00171,BO_1980_00194,BO_1980_00196",Coyoacan
8a,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),565,1,0,"BO_1972_01302,BO_1974_00055,BO_1974_00066,BO_1974_00069,BO_1974_00102",Benito Juarez
27a,XO-2,Coord Territorial 2 Xochimilco (Barrio de San Pedro),552,1,0,"BO_1974_00190,BO_1974_00233,BO_1974_00235,BO_1974_00283,BO_1974_00345",Xochimilco
24,AOB-3,Coord Territorial 3 Alvaro Obregon (Col Progreso Tizapan),543,1,0,"BO_1978_05934,BO_1980_00005,BO_1980_00016,BO_1980_00051,BO_1980_00052",Alvaro Obregon
9,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),525,1,0,"BO_1980_00041,BO_1980_00062,BO_1980_00079,BO_1980_00085,BO_1980_00131",Miguel Hidalgo
HX,HX,Hospital Xoco (Col General Anaya),499,1,0,"BO_1970_00846,BO_1970_00851,BO_1970_00925,BO_1970_00968,BO_1970_00991",Benito Juarez
12a,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),490,1,0,"BO_1974_00058,BO_1974_00081,BO_1974_00114,BO_1974_00141,BO_1974_00220",Benito Juarez
VC-2,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),477,1,0,"BO_1975_00056,BO_1975_00062,BO_1975_00067,BO_1975_00085,BO_1975_00139",Venustiano Carranza
16a,GAM-7,Coord Territorial 7 Gustavo A Madero (Col San Juan de Aragon),469,1,0,"BO_1974_00219,BO_1974_00954,BO_1974_00994,BO_1974_01068,BO_1974_01080",Gustavo A Madero
5,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),460,1,0,"BO_1980_00026,BO_1980_00029,BO_1980_00031,BO_1980_00073,BO_1980_00090",Cuauhtemoc
18,IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),449,1,0,"BO_1977_02760,BO_1980_00010,BO_1980_00037,BO_1980_00157,BO_1980_00158",Iztacalco
14,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),439,1,0,"BO_1980_00015,BO_1980_00039,BO_1980_00066,BO_1980_00072,BO_1980_00205",Azcapotzalco
23,TLP-2,Coord Territorial 2 Tlalpan (Col La Joya),429,1,0,"BO_1980_00030,BO_1980_00111,BO_1980_00152,BO_1980_00267,BO_1980_00274",Tlalpan
38a,COY-5,Coord Territorial 5 Coyoacan (Col CTM-Culhuacan),429,1,0,"BO_1977_00190,BO_1977_00270,BO_1977_00596,BO_1977_01031,BO_1977_01049",Coyoacan
GAM-1,GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),412,1,0,"BO_1975_00004,BO_1975_00006,BO_1975_00021,BO_1975_00028,BO_1975_00063",Gustavo A Madero
13,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),412,1,0,"BO_1980_00044,BO_1980_00087,BO_1980_00102,BO_1980_00238,BO_1980_00317",Gustavo A Madero
3a,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),402,1,0,"BO_1969_01016,BO_1969_01020,BO_1972_01331,BO_1973_01734,BO_1974_00004",Cuauhtemoc
HTB,HB,Hospital Balbuena (Col Jardin Balbuena),400,1,0,"BO_1969_00814,BO_1969_00815,BO_1969_00822,BO_1969_00823,BO_1969_00832",Venustiano Carranza
AO-1,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),390,1,0,"BO_1975_00001,BO_1975_00038,BO_1975_00079,BO_1975_00084,BO_1975_00093",Alvaro Obregon
IZA-2,IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara),389,1,0,"BO_1975_00027,BO_1975_00151,BO_1975_00176,BO_1975_00182,BO_1975_00193",Iztapalapa
26a,CUJ-1,Coord Territorial 1 Cuajimalpa (Col Cuajimalpa Centro),387,1,0,"BO_1974_00109,BO_1974_00450,BO_1974_00459,BO_1974_00647,BO_1974_00655",Cuauhtemoc
CM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),384,1,0,"BO_1974_00010,BO_1974_00057,BO_1974_00059,BO_1974_00072,BO_1974_00078",Cuauhtemoc
4a,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),366,1,0,"BO_1974_00144,BO_1974_00192,BO_1974_00215,BO_1974_00238,BO_1974_00267",Cuauhtemoc
VC-1,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),364,1,0,"BO_1975_00051,BO_1975_00052,BO_1975_00087,BO_1975_00159,BO_1975_00203",Venustiano Carranza
HCM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),357,1,0,"BO_1970_01229,BO_1970_01861,BO_1970_01919,BO_1970_01932,BO_1970_03556",Cuauhtemoc
11,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),356,1,0,"BO_1979_03880,BO_1980_00006,BO_1980_00007,BO_1980_00009,BO_1980_00080",Miguel Hidalgo
HTV,HV,Hospital la Villa (Col Granjas Modernas),349,1,0,"BO_1969_00824,BO_1969_00868,BO_1969_00933,BO_1969_00950,BO_1969_00956",Gustavo A Madero
