Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
BJ-I,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),106,1,0,"BO_1976_00258,BO_1976_00295,BO_1976_00315,BO_1976_00339,BO_1976_00424",Benito Juarez
GAM-III,GAM-3,Coord Territorial 3 Gustavo A Madero - Hosp Mag Salinas (Col Magdalena de las Salinas),106,1,0,"BO_1976_00003,BO_1976_00011,BO_1976_00028,BO_1976_00075,BO_1976_00079",Gustavo A Madero
CH-VI,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),105,1,0,"BO_1975_01654,BO_1976_00207,BO_1976_00239,BO_1976_00300,BO_1976_00307",Cuauhtemoc
V.O.,VO,Villa Obregon,104,1,0,"BO_1968_00806,BO_1968_00864,BO_1968_00874,BO_1968_00906,BO_1968_00986",Alvaro Obregon
CU-1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),104,1,0,"BO_1975_00749,BO_1975_00792,BO_1975_00793,BO_1975_00844,BO_1975_00918",Cuauhtemoc
CH-4,CUH-4,Coord Territorial 4 Cuauhtémoc (Col Centro),102,1,0,"BO_1975_00003,BO_1975_00157,BO_1975_00250,BO_1975_00326,BO_1975_00340",Cuauhtemoc
1A,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),101,1,0,"BO_1969_02188,BO_1970_00796,BO_1970_00806,BO_1970_00807,BO_1970_00808",Cuauhtemoc
9a deleg,HGRL,Hospital Ruben Leñero (Col Santo Tomas),99,1,0,"BO_1969_00732,BO_1969_00875,BO_1969_00897,BO_1969_00904,BO_1969_00905",Miguel Hidalgo
2A,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),98,1,0,"BO_1970_00793,BO_1970_00794,BO_1970_00795,BO_1970_00801,BO_1970_00813",Venustiano Carranza
CH-III,CUH-3,Coord Territorial 3 Cuauhtémoc (Col Morelos),97,1,0,"BO_1976_00074,BO_1976_00102,BO_1976_00103,BO_1976_00212,BO_1976_00214",Cuauhtemoc
Xochimilco,XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),95,1,0,"BO_1968_00737,BO_1968_00854,BO_1968_00896,BO_1968_00955,BO_1968_00964",Xochimilco
2a Del.,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),95,1,0,"BO_1968_00735,BO_1968_00752,BO_1968_00759,BO_1968_00772,BO_1968_00777",Venustiano Carranza
CO-1,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),93,1,0,"BO_1975_00060,BO_1975_00304,BO_1975_00305,BO_1975_00311,BO_1975_00425",Coyoacan
IZA-I,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),92,1,0,"BO_1976_00047,BO_1976_00090,BO_1976_00124,BO_1976_00221,BO_1976_00234",Iztapalapa
25,MC-2,Coord Territorial 2 Magdalena Contreras (Col Barranca Seca),92,1,0,"BO_1980_00109,BO_1980_00181,BO_1980_00516,BO_1980_00541,BO_1980_00890",Magdalena Contreras
9a Deleg,HGRL,Hospital Ruben Leñero (Col Santo Tomas),91,1,0,"BO_1969_00790,BO_1971_00878,BO_1971_00930,BO_1971_00953,BO_1971_00967",Miguel Hidalgo
1a Deleg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),91,1,0,"BO_1969_00805,BO_1971_00872,BO_1971_00901,BO_1971_00939,BO_1971_00945",Cuauhtemoc
Cruz Roja,CR,Cruz Roja (Col Polanco),81,1,0,"BO_1968_03145,BO_1969_00993,BO_1971_00934,BO_1971_00954,BO_1971_00965",Miguel Hidalgo
14a Deleg,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),80,1,0,"BO_1971_00877,BO_1971_00921,BO_1971_00992,BO_1971_01015,BO_1971_01047",Azcapotzalco
BJ-II,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),80,1,0,"BO_1976_00107,BO_1976_00148,BO_1976_00185,BO_1976_00281,BO_1976_00357",Benito Juarez
Ixtapalapa,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),78,1,0,"BO_1972_00874,BO_1972_00878,BO_1972_00886,BO_1972_00909,BO_1972_00933",Iztapalapa
X-I,XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),77,1,0,"BO_1976_00301,BO_1976_00475,BO_1976_00512,BO_1976_00570,BO_1976_00605",Xochimilco
CH-II,CUH-2,Coord Territorial 2 Cuauhtémoc (Col Buenavista),76,1,0,"BO_1976_00059,BO_1976_00169,BO_1976_00321,BO_1976_00334,BO_1976_00354",Cuauhtemoc
BJ-III,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),76,1,0,"BO_1976_00031,BO_1976_00042,BO_1976_00112,BO_1976_00171,BO_1976_00379",Benito Juarez
1a Del.,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),74,1,0,"BO_1968_00734,BO_1968_00738,BO_1968_00764,BO_1968_00786,BO_1968_00788",Cuauhtemoc
VO,VO,Villa Obregon,71,1,0,"BO_1969_00896,BO_1969_00915,BO_1969_00942,BO_1969_00975,BO_1969_00982",Alvaro Obregon
14a deleg,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),71,1,0,"BO_1969_00830,BO_1969_00856,BO_1969_01039,BO_1969_01059,BO_1969_01086",Azcapotzalco
29,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),69,1,0,"BO_1980_00576,BO_1980_00810,BO_1980_00841,BO_1980_01445,BO_1980_01482",Milpa Alta
CH-IV,CUH-4,Coord Territorial 4 Cuauhtémoc (Col Centro),69,1,0,"BO_1975_01694,BO_1975_01831,BO_1976_00151,BO_1976_00172,BO_1976_00302",Cuauhtemoc
6a deleg,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),68,1,0,"BO_1969_00835,BO_1969_00907,BO_1969_00969,BO_1969_00999,BO_1969_01133",Cuauhtemoc
IZA,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),67,1,0,"BO_1970_00840,BO_1970_00862,BO_1970_00874,BO_1970_00891,BO_1970_00898",Iztapalapa
Tlalpan,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),66,1,0,"BO_1968_00949,BO_1968_01062,BO_1968_02239,BO_1968_02323,BO_1968_02437",Tlalpan
Cuajimalpa,CUJ-1,Coord Territorial 1 Cuajimalpa (Col Cuajimalpa Centro),63,1,0,"BO_1968_00863,BO_1968_00878,BO_1968_00994,BO_1968_01017,BO_1968_01028",Cuauhtemoc
13a Deleg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),62,1,0,"BO_1971_00798,BO_1972_01256,BO_1972_01301,BO_1972_01308,BO_1972_01309",Gustavo A Madero
TC-1,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),60,1,0,"BO_1975_00054,BO_1975_00097,BO_1975_00332,BO_1975_00360,BO_1975_00506",Tlalpan
14A,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),59,1,0,"BO_1970_00836,BO_1970_00873,BO_1970_00877,BO_1970_00889,BO_1970_00921",Azcapotzalco
H. T. B.,HB,Hospital Balbuena (Col Jardin Balbuena),58,1,0,"BO_1971_01176,BO_1971_01206,BO_1971_01210,BO_1971_01213,BO_1971_01278",Venustiano Carranza
7a deleg,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),54,1,0,"BO_1969_00857,BO_1969_00935,BO_1969_01006,BO_1969_01058,BO_1969_01111",Cuauhtemoc
5a Deleg,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),53,1,0,"BO_1969_00794,BO_1969_00807,BO_1971_00932,BO_1971_00961,BO_1971_00974",Cuauhtemoc
2a Deleg.,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),53,1,0,"BO_1972_01305,BO_1972_01312,BO_1972_01316,BO_1972_01351,BO_1972_01353",Venustiano Carranza
Ia Deleg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),53,1,0,"BO_1969_00809,BO_1972_00876,BO_1972_00899,BO_1972_00900,BO_1972_00906",Cuauhtemoc
10a deleg,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),53,1,0,"BO_1969_00836,BO_1969_00878,BO_1969_00996,BO_1969_01085,BO_1969_01102",Benito Juarez
Ixtacalco,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),51,1,0,"BO_1972_00939,BO_1972_00983,BO_1972_00987,BO_1972_01001,BO_1972_01018",Iztacalco
6a Deleg,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),51,1,0,"BO_1969_00789,BO_1969_00795,BO_1969_00803,BO_1971_00870,BO_1971_00918",Cuauhtemoc
11a Deleg,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),50,1,0,"BO_1969_00781,BO_1971_00919,BO_1971_00931,BO_1971_01038,BO_1971_01064",Miguel Hidalgo
9A,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),50,1,0,"BO_1969_01449,BO_1970_00811,BO_1970_00822,BO_1970_00835,BO_1970_00837",Miguel Hidalgo
IZO,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),49,1,0,"BO_1970_00821,BO_1970_00864,BO_1970_00890,BO_1970_00912,BO_1970_00913",Iztacalco
14a Del.,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),49,1,0,"BO_1968_00754,BO_1968_00768,BO_1968_00773,BO_1968_00784,BO_1968_00800",Azcapotzalco
3a deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),47,1,0,"BO_1969_00888,BO_1969_00925,BO_1969_00959,BO_1969_00960,BO_1969_01032",Gustavo A Madero
11a deleg,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),47,1,0,"BO_1969_00869,BO_1969_00929,BO_1969_00943,BO_1969_00987,BO_1969_01028",Miguel Hidalgo
5a deleg,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),44,1,0,"BO_1969_00860,BO_1969_00936,BO_1969_00977,BO_1969_00997,BO_1969_01033",Cuauhtemoc
3A,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),44,1,0,"BO_1969_01451,BO_1970_00804,BO_1970_00812,BO_1970_00865,BO_1970_00894",Cuauhtemoc
3a Deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),44,1,0,"BO_1971_00865,BO_1971_00927,BO_1971_00948,BO_1971_00985,BO_1971_01126",Gustavo A Madero
Ia deleg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),44,1,0,"BO_1969_00816,BO_1969_00818,BO_1969_00820,BO_1969_00848,BO_1969_00849",Cuauhtemoc
CO-I,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),42,1,0,"BO_1976_00008,BO_1976_00125,BO_1976_00270,BO_1976_00612,BO_1976_00783",Coyoacan
9a Del.,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),41,1,0,"BO_1968_00794,BO_1968_00831,BO_1968_00836,BO_1968_00868,BO_1968_00873",Miguel Hidalgo
7a Deleg,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),40,1,0,"BO_1971_00898,BO_1971_01023,BO_1971_01034,BO_1971_01055,BO_1971_01237",Cuauhtemoc
12a deleg,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),40,1,0,"BO_1969_00967,BO_1969_01044,BO_1969_01075,BO_1969_01081,BO_1969_01412",Benito Juarez
8a Deleg,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),40,1,0,"BO_1969_00785,BO_1971_00888,BO_1971_01019,BO_1971_01040,BO_1971_01093",Benito Juarez
H. T. V.,HV,Hospital la Villa (Col Granjas Modernas),38,1,0,"BO_1971_00884,BO_1971_00922,BO_1971_00935,BO_1971_00936,BO_1971_00942",Gustavo A Madero
3a Del.,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),37,1,0,"BO_1968_00731,BO_1968_00740,BO_1968_00753,BO_1968_00763,BO_1968_00817",Cuauhtemoc
12a Deleg,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),37,1,0,"BO_1969_01003,BO_1971_00890,BO_1971_00896,BO_1971_00951,BO_1971_00993",Benito Juarez
TC-I,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),35,1,0,"BO_1976_00044,BO_1976_00196,BO_1976_00374,BO_1976_01001,BO_1976_01005",Tlalpan
8a deleg,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),34,1,0,"BO_1969_00928,BO_1969_00988,BO_1969_01078,BO_1969_01131,BO_1969_01294",Benito Juarez
10a Deleg,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),34,1,0,"BO_1971_00893,BO_1971_01018,BO_1971_01095,BO_1971_01260,BO_1971_01281",Benito Juarez
GAM-IV,GAM-4,Coord Territorial 4 Gustavo A Madero (Col Aragon la Villa),33,1,0,"BO_1976_00312,BO_1976_00316,BO_1976_00327,BO_1976_00534,BO_1976_00536",Gustavo A Madero
5A,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),33,1,0,"BO_1970_00838,BO_1970_00853,BO_1970_00886,BO_1970_00903,BO_1970_00932",Cuauhtemoc
4a Deleg,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),33,1,0,"BO_1971_00899,BO_1971_00929,BO_1971_01012,BO_1971_01014,BO_1971_01186",Cuauhtemoc
5a Del.,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),32,1,0,"BO_1968_00742,BO_1968_00774,BO_1968_00795,BO_1968_00804,BO_1968_00805",Cuauhtemoc
11A,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),32,1,0,"BO_1969_01452,BO_1969_02174,BO_1970_00833,BO_1970_00887,BO_1970_00897",Miguel Hidalgo
4a deleg,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),32,1,0,"BO_1969_00826,BO_1969_00866,BO_1969_00937,BO_1969_00938,BO_1969_01057",Cuauhtemoc
CV-I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),31,1,0,"BO_1976_00262,BO_1976_00459,BO_1976_00652,BO_1976_00768,BO_1976_00770",Cuauhtemoc
V. O.,VO,Villa Obregon,30,1,0,"BO_1971_00906,BO_1971_00940,BO_1971_01151,BO_1971_01165,BO_1971_01185",Alvaro Obregon
10A,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),30,1,0,"BO_1970_00866,BO_1970_00884,BO_1970_00961,BO_1970_01007,BO_1970_01179",Benito Juarez
MA-1,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),29,1,0,"BO_1975_00055,BO_1975_00548,BO_1975_00756,BO_1975_01821,BO_1975_01950",Milpa Alta
CH-3,CUH-3,Coord Territorial 3 Cuauhtémoc (Col Morelos),29,1,0,"BO_1975_06141,BO_1976_01150,BO_1976_01194,BO_1976_01209,BO_1976_02254",Cuauhtemoc
8A,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),29,1,0,"BO_1969_03417,BO_1969_04033,BO_1969_04733,BO_1970_00879,BO_1970_00915",Benito Juarez
SC,SC,,28,1,0,"BO_1975_00318,BO_1975_01096,BO_1975_03427,BO_1976_00002,BO_1976_03651",
11a Del.,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),28,1,0,"BO_1968_00793,BO_1968_00799,BO_1968_00802,BO_1968_00881,BO_1968_00891",Miguel Hidalgo
CO,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),25,1,0,"BO_1970_00948,BO_1970_00980,BO_1970_01083,BO_1970_01134,BO_1970_01181",Coyoacan
7A,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),24,1,0,"BO_1970_00855,BO_1970_00896,BO_1970_00953,BO_1970_00966,BO_1970_01084",Cuauhtemoc
6a Del.,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),24,1,0,"BO_1968_00823,BO_1968_00830,BO_1968_00920,BO_1968_00978,BO_1968_01234",Cuauhtemoc
10a Del.,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),24,1,0,"BO_1968_00828,BO_1968_00889,BO_1968_00894,BO_1968_00934,BO_1968_01037",Benito Juarez
4a Del.,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),23,1,0,"BO_1968_00743,BO_1968_00849,BO_1968_00850,BO_1968_01013,BO_1968_01022",Cuauhtemoc
BJ-CM-,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),23,1,0,"BO_1977_05371,BO_1977_05377,BO_1977_05392,BO_1977_05393,BO_1977_05394",Cuauhtemoc
7a Deleg.,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),23,1,0,"BO_1972_01184,BO_1972_01356,BO_1972_01620,BO_1972_01734,BO_1972_01739",Cuauhtemoc
H. T. Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),23,1,0,"BO_1971_00882,BO_1971_00887,BO_1971_00889,BO_1971_00892,BO_1971_00914",Venustiano Carranza
Contreras,MC-1,Coord Territorial 1 Magdalena Contreras (Col Ampliacion Contreras),22,1,0,"BO_1968_00942,BO_1968_00972,BO_1968_01241,BO_1968_01992,BO_1969_01292",Magdalena Contreras
12A,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),22,1,0,"BO_1970_00830,BO_1970_00938,BO_1970_01126,BO_1970_01129,BO_1970_01177",Benito Juarez
6A,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),22,1,0,"BO_1970_00839,BO_1970_00858,BO_1970_00983,BO_1970_00987,BO_1970_01009",Cuauhtemoc
Ia Deleg.,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),20,1,0,"BO_1972_00877,BO_1972_01339,BO_1972_01384,BO_1972_01403,BO_1972_01559",Cuauhtemoc
8a Del.,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),20,1,0,"BO_1968_00821,BO_1968_00846,BO_1968_00913,BO_1968_01052,BO_1968_01116",Benito Juarez
20a deleg,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),20,1,0,"BO_1973_01968,BO_1973_02018,BO_1973_02048,BO_1973_02049,BO_1973_02050",Iztapalapa
15a deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),20,1,0,"BO_1973_01530,BO_1973_01967,BO_1973_02020,BO_1973_02046,BO_1973_02070",Gustavo A Madero
MA-I,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),19,1,0,"BO_1976_00117,BO_1976_00170,BO_1976_00294,BO_1976_00478,BO_1976_01549",Milpa Alta
GAM-4,GAM-4,Coord Territorial 4 Gustavo A Madero (Col Aragon la Villa),18,1,0,"BO_1976_01231,BO_1976_02311,BO_1976_02312,BO_1976_02339,BO_1976_02382",Gustavo A Madero
VC II,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),18,1,0,"BO_1977_05869,BO_1977_05878,BO_1977_05882,BO_1977_05902,BO_1977_05907",Venustiano Carranza
XO,XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),17,1,0,"BO_1970_00799,BO_1970_01033,BO_1970_01077,BO_1970_01130,BO_1970_01137",Xochimilco
VC-HB-,HB,Hospital Balbuena (Col Jardin Balbuena),16,1,0,"BO_1977_05391,BO_1977_05395,BO_1977_05639,BO_1977_05646,BO_1977_06760",Venustiano Carranza
4A,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),16,1,0,"BO_1970_00805,BO_1970_00834,BO_1970_00945,BO_1970_00963,BO_1970_00964",Cuauhtemoc
CU,TLP-2,Coord Territorial 2 Tlalpan (Col La Joya),16,1,0,"BO_1970_00906,BO_1970_00971,BO_1970_01054,BO_1970_01086,BO_1970_01089",Tlalpan
9a Deleg.,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),14,1,0,"BO_1972_01320,BO_1972_01348,BO_1972_01352,BO_1972_01390,BO_1972_01549",Miguel Hidalgo
VC HB,HB,Hospital Balbuena (Col Jardin Balbuena),14,1,0,"BO_1975_00100,BO_1977_05873,BO_1977_05874,BO_1977_05877,BO_1977_05897",Venustiano Carranza
6a Deleg.,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),13,1,0,"BO_1972_01306,BO_1972_01370,BO_1972_01526,BO_1972_01550,BO_1972_01669",Cuauhtemoc
11a Deleg.,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),13,1,0,"BO_1972_01551,BO_1972_01601,BO_1972_01646,BO_1972_01667,BO_1972_01702",Miguel Hidalgo
MH CR,CR,Cruz Roja (Col Polanco),13,1,0,"BO_1975_02490,BO_1975_02491,BO_1975_02761,BO_1977_05890,BO_1977_05891",Miguel Hidalgo
7a Del.,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),13,1,0,"BO_1968_01014,BO_1968_01248,BO_1968_01282,BO_1968_01310,BO_1968_01334",Cuauhtemoc
H.T.B,HB,Hospital Balbuena (Col Jardin Balbuena),13,1,0,"BO_1971_03432,BO_1973_01107,BO_1973_03490,BO_1973_04120,BO_1973_04218",Venustiano Carranza
TP,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),13,1,0,"BO_1970_00880,BO_1970_00901,BO_1970_01085,BO_1970_01128,BO_1970_01171",Tlalpan
GAM-I-,GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),13,1,0,"BO_1977_05376,BO_1977_05400,BO_1977_05617,BO_1977_05621,BO_1977_06757",Gustavo A Madero
HC,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),13,1,0,"BO_1974_00008,BO_1974_00343,BO_1974_02590,BO_1974_02593,BO_1974_02597",Cuauhtemoc
Tlahuac,TLH-1,Coord Territorial 1 Tlahuac (Col Del Mar),13,1,0,"BO_1968_00919,BO_1968_02241,BO_1969_02308,BO_1971_00885,BO_1971_01174",Tlahuac
14a Deleg.,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),12,1,0,"BO_1972_01179,BO_1972_01363,BO_1972_01529,BO_1972_01542,BO_1972_01555",Azcapotzalco
IZA II,IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara),12,1,0,"BO_1977_05875,BO_1977_05876,BO_1977_05894,BO_1977_05898,BO_1977_05915",Iztapalapa
8a Deleg.,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),12,1,0,"BO_1972_01382,BO_1972_01397,BO_1972_01548,BO_1972_01568,BO_1972_01647",Benito Juarez
MH-HRL-,HGRL,Hospital Ruben Leñero (Col Santo Tomas),12,1,0,"BO_1977_05383,BO_1977_05384,BO_1977_05401,BO_1977_05608,BO_1977_05611",Miguel Hidalgo
H. T. Xoco,HX,Hospital Xoco (Col General Anaya),11,1,0,"BO_1971_01348,BO_1971_01350,BO_1971_01629,BO_1971_01672,BO_1971_01791",Benito Juarez
CH V,CUH-5,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera),11,1,0,"BO_1977_05946,BO_1977_05949,BO_1977_05955,BO_1977_05962,BO_1977_05969",Cuauhtemoc
VC I,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),11,1,0,"BO_1977_05893,BO_1977_05901,BO_1977_05916,BO_1977_05927,BO_1977_05939",Venustiano Carranza
C-HX-,HX,Hospital Xoco (Col General Anaya),10,1,0,"BO_1977_05390,BO_1977_06761,BO_1977_06804,BO_1977_07015,BO_1977_07021",Benito Juarez
IZO-I-,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),10,1,0,"BO_1977_05409,BO_1977_05625,BO_1977_05634,BO_1977_06756,BO_1977_06765",Iztacalco
C.M.N,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),10,1,0,"BO_1972_02038,BO_1973_04237,BO_1973_04278,BO_1973_04280,BO_1973_04329",Benito Juarez
VC-II-,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),10,1,0,"BO_1977_05382,BO_1977_05629,BO_1977_05713,BO_1977_06751,BO_1977_06755",Venustiano Carranza
1a Deleg.,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),9,1,0,"BO_1972_01362,BO_1972_01532,BO_1972_01543,BO_1972_01904,BO_1972_01912",Cuauhtemoc
GAM-HV-,HV,Hospital la Villa (Col Granjas Modernas),9,1,0,"BO_1977_06769,BO_1977_06994,BO_1977_07008,BO_1977_07009,BO_1977_07022",Gustavo A Madero
Villa Obregon,VO,Villa Obregon,9,1,0,"BO_1968_02607,BO_1971_01950,BO_1971_01963,BO_1971_01971,BO_1972_01124",Alvaro Obregon
7a Delegacion,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),9,1,0,"BO_1968_00730,BO_1968_00751,BO_1968_00757,BO_1968_00796,BO_1968_00982",Cuauhtemoc
CH-V-,CUH-5,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera),9,1,0,"BO_1977_05372,BO_1977_05399,BO_1977_05404,BO_1977_05630,BO_1977_05644",Cuauhtemoc
30a,MH-4,Coord Territorial 4 Miguel Hidalgo (Col Ampliacion Daniel Garza),9,1,0,"BO_1977_01997,BO_1977_07109,BO_1978_06181,BO_1978_06893,BO_1979_00325",Miguel Hidalgo
CMN,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),9,1,0,"BO_1973_01765,BO_1973_04044,BO_1974_00527,BO_1974_01982,BO_1974_02093",Cuauhtemoc
H.T.Villa,HV,Hospital la Villa (Col Granjas Modernas),8,1,0,"BO_1968_00991,BO_1968_00992,BO_1968_01213,BO_1968_01344,BO_1968_01399",Gustavo A Madero
7a deleg.,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),8,1,0,"BO_1972_03420,BO_1972_03519,BO_1972_03534,BO_1972_03690,BO_1972_03691",Cuauhtemoc
CV-1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),8,1,0,"BO_1975_00075,BO_1975_00076,BO_1975_00223,BO_1975_00224,BO_1975_00296",Cuauhtemoc
12a Del.,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),8,1,0,"BO_1968_00758,BO_1968_00904,BO_1968_02169,BO_1968_02176,BO_1968_02278",Benito Juarez
C.R,CR,Cruz Roja (Col Polanco),8,1,0,"BO_1972_03643,BO_1973_04116,BO_1973_04145,BO_1973_04228,BO_1973_04334",Miguel Hidalgo
CU-I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),8,1,0,"BO_1976_05554,BO_1976_06300,BO_1976_06398,BO_1977_00054,BO_1977_00080",Cuauhtemoc
5a Deleg.,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),8,1,0,"BO_1972_01415,BO_1972_01547,BO_1972_01592,BO_1972_01668,BO_1972_01816",Cuauhtemoc
